Series Name,Series Code,Country Name,Country Code,2001 [YR2001],2002 [YR2002],2003 [YR2003],2011 [YR2011],2012 [YR2012],2013 [YR2013],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Population, total",SP.POP.TOTL,Colombia,COL,39837875,40454050,41057687,45308899,45782417,46237930,51516562,51874024,52085168
"Population, total",SP.POP.TOTL,Comoros,COM,547741,559047,570130,670071,684553,699393,821625,836774,852075
"Population, total",SP.POP.TOTL,"Congo, Dem. Rep.",COD,50106657,51662071,53205639,68654269,70997870,73460021,95894118,99010212,102262808
"Population, total",SP.POP.TOTL,"Congo, Rep.",COG,3254101,3331158,3424653,4584216,4713257,4828066,5835806,5970424,6106869
"Population, total",SP.POP.TOTL,Costa Rica,CRI,4053222,4122623,4188610,4679926,4736593,4791535,5153957,5180829,5212173
"Population, total",SP.POP.TOTL,Cote d'Ivoire,CIV,17245468,17683897,18116451,21562914,22010712,22469268,27478249,28160542,28873034
"Population, total",SP.POP.TOTL,Croatia,HRV,4299642,4302174,4303399,4280622,4267558,4255689,3878981,3855641,3853200
"Population, total",SP.POP.TOTL,Cuba,CUB,11139127,11170051,11199217,11298710,11309290,11321579,11256372,11212191,11194449
"Population, total",SP.POP.TOTL,Curacao,CUW,129047,129205,131897,150831,152088,153822,152369,149996,147862
"Population, total",SP.POP.TOTL,Cyprus,CYP,964830,982194,1000350,1145086,1156556,1166968,1244188,1251488,1260138
"Population, total",SP.POP.TOTL,Czechia,CZE,10216605,10196916,10193998,10496088,10510785,10514272,10505772,10672118,10873689
"Population, total",SP.POP.TOTL,Denmark,DNK,5358783,5375931,5390574,5570572,5591572,5614932,5856733,5903037,5946952
"Population, total",SP.POP.TOTL,Djibouti,DJI,765490,789129,806411,936811,954297,971753,1105557,1120849,1136455
"Population, total",SP.POP.TOTL,Dominica,DMA,68153,68262,68442,68742,68888,68819,72412,72737,73040
"Population, total",SP.POP.TOTL,Dominican Republic,DOM,8669040,8795101,8919852,9903737,10030882,10157051,11117873,11228821,11332972
"Population, total",SP.POP.TOTL,Ecuador,ECU,12845521,13070609,13301184,15237728,15483883,15722989,17797737,18001000,18190484
"Population, total",SP.POP.TOTL,"Egypt, Arab Rep.",EGY,72854261,74393759,75963322,89200054,91240376,93377890,109262178,110990103,112716598
"Population, total",SP.POP.TOTL,El Salvador,SLV,5988095,6011275,6026849,6137349,6161289,6185642,6314167,6336392,6364943
"Population, total",SP.POP.TOTL,Equatorial Guinea,GNQ,719270,754115,789681,1144588,1193636,1243941,1634466,1674908,1714671
"Population, total",SP.POP.TOTL,Eritrea,ERI,2461927,2547424,2653390,3207570,3252596,3296367,3620312,3684032,3748901
"Population, total",SP.POP.TOTL,Estonia,EST,1388115,1379350,1370720,1327439,1322696,1317997,1330932,1348840,1366188
"Population, total",SP.POP.TOTL,Eswatini,SWZ,1041396,1050809,1058797,1105371,1111444,1118319,1192271,1201670,1210822
"Population, total",SP.POP.TOTL,Ethiopia,ETH,69018932,71073215,73168838,91817929,94451280,97084366,120283026,123379924,126527060
"Population, total",SP.POP.TOTL,Faroe Islands,FRO,46245,46813,47392,48386,48392,48418,52889,53090,53270
"Population, total",SP.POP.TOTL,Fiji,FJI,841320,849891,858306,908355,911059,913453,924610,929766,936375
"Population, total",SP.POP.TOTL,Finland,FIN,5188008,5200598,5213014,5388272,5413971,5438972,5541017,5556106,5584264
"Population, total",SP.POP.TOTL,France,FRA,61367388,61816234,62256970,65345233,65662240,66002289,67764304,67971311,68170228
"Population, total",SP.POP.TOTL,French Polynesia,PYF,255049,259137,263173,285265,286584,288032,304032,306279,308872
"Population, total",SP.POP.TOTL,Gabon,GAB,1306590,1341696,1378398,1772500,1836705,1902226,2341179,2388992,2436566
"Population, total",SP.POP.TOTL,"Gambia, The",GMB,1479449,1522223,1566257,1998212,2061014,2124869,2639916,2705992,2773168
"Population, total",SP.POP.TOTL,Georgia,GEO,4014373,3978515,3951736,3756441,3728874,3717668,3708610,3712502,3760365
"Population, total",SP.POP.TOTL,Germany,DEU,82349925,82488495,82534176,80274983,80425823,80645605,83196078,83797985,84482267
"Population, total",SP.POP.TOTL,Ghana,GHA,20195577,20758326,21329514,26205941,26858762,27525597,32833031,33475870,34121985
"Population, total",SP.POP.TOTL,Gibraltar,GIB,27721,27892,28301,31701,32160,32411,32669,32649,32688
"Population, total",SP.POP.TOTL,Greece,GRC,10862132,10902022,10928070,11104899,11045011,10965211,10569207,10426919,10361295
"Population, total",SP.POP.TOTL,Greenland,GRL,56350,56609,56765,56890,56810,56483,56653,56661,56865
"Population, total",SP.POP.TOTL,Grenada,GRD,107936,108231,108740,114918,115912,116945,124610,125438,126183
"Population, total",SP.POP.TOTL,Guam,GUM,161524,162563,163385,165649,166392,167054,170534,171774,172952
"Population, total",SP.POP.TOTL,Guatemala,GTM,11871565,12147518,12415334,14521515,14781942,15043981,17109746,17357886,17602431
"Population, total",SP.POP.TOTL,Guinea,GIN,8445717,8577790,8772254,10527712,10788692,11055430,13531906,13859341,14190612
"Population, total",SP.POP.TOTL,Guinea-Bissau,GNB,1257380,1285678,1315653,1609017,1652717,1697753,2060721,2105566,2150842
"Population, total",SP.POP.TOTL,Guyana,GUY,759809,760323,760562,744230,743966,747420,804567,808726,813834
"Population, total",SP.POP.TOTL,Haiti,HTI,8511728,8661546,8812245,9954312,10108539,10261206,11447569,11584996,11724763
"Population, total",SP.POP.TOTL,Honduras,HND,6837861,7019908,7201881,8622504,8792367,8960657,10278345,10432860,10593798
"Population, total",SP.POP.TOTL,"Hong Kong SAR, China",HKG,6714300,6744100,6730800,7071600,7150100,7178900,7413100,7346100,7536100
"Population, total",SP.POP.TOTL,Hungary,HUN,10187576,10158608,10129552,9971727,9920362,9893082,9709891,9643048,9589872
"Population, total",SP.POP.TOTL,Iceland,ISL,284968,287523,289521,319014,320716,323764,372520,382003,393600
"Population, total",SP.POP.TOTL,India,IND,1078970907,1098313039,1117415123,1257621191,1274487215,1291132063,1407563842,1417173173,1428627663
"Population, total",SP.POP.TOTL,Indonesia,IDN,217112437,220115092,223080121,247099697,250222695,253275918,273753191,275501339,277534122
"Population, total",SP.POP.TOTL,"Iran, Islamic Rep.",IRN,66674851,67327117,67954699,76342971,77324451,78458928,87923432,88550570,89172767
"Population, total",SP.POP.TOTL,Iraq,IRQ,25425663,26255343,27068823,32378061,33864447,35481800,43533592,44496122,45504560
"Population, total",SP.POP.TOTL,Ireland,IRL,3866243,3931947,3996521,4580084,4599533,4623816,5033164,5127170,5262382
"Population, total",SP.POP.TOTL,Isle of Man,IMN,76398,77183,77939,84350,84338,84144,84263,84519,84710
"Population, total",SP.POP.TOTL,Israel,ISR,6439000,6570000,6689700,7765800,7910500,8059500,9371400,9557500,9756700
"Population, total",SP.POP.TOTL,Italy,ITA,56974100,57059007,57313203,59379449,59539717,60233948,59133173,58940425,58761146
"Population, total",SP.POP.TOTL,Jamaica,JAM,2625405,2638244,2651027,2746169,2759817,2773129,2827695,2827377,2825544
"Population, total",SP.POP.TOTL,Japan,JPN,127149000,127445000,127718000,127833000,127629000,127445000,125681593,125124989,124516650
"Population, total",SP.POP.TOTL,Jordan,JOR,5163310,5275532,5396117,7109980,7211863,7694814,11148278,11285869,11337052
"Population, total",SP.POP.TOTL,Kazakhstan,KAZ,14858335,14858948,14909019,16557202,16792090,17035551,19191356,19634983,19900177
"Population, total",SP.POP.TOTL,Kenya,KEN,31800343,32779823,33767122,42635144,43725806,44792368,53005614,54027487,55100586
"Population, total",SP.POP.TOTL,Kiribati,KIR,90531,92400,94302,109871,111618,113311,128874,131232,133515
"Population, total",SP.POP.TOTL,"Korea, Dem. People's Rep.",PRK,23512522,23638411,23781707,24783789,24887770,25001819,25971909,26069416,26160821
"Population, total",SP.POP.TOTL,"Korea, Rep.",KOR,47370164,47644736,47892330,49936638,50199853,50428893,51769539,51672569,51712619
"Population, total",SP.POP.TOTL,Kosovo,XKX,1840256,1846786,1839425,1799338,1807106,1818117,1786038,1768086,1756374
"Population, total",SP.POP.TOTL,Kuwait,KWT,1991674,2047364,2101506,3143825,3394663,3646518,4250114,4268873,4310108
"Population, total",SP.POP.TOTL,Kyrgyz Republic,KGZ,4945100,4990700,5043300,5514600,5607200,5719600,6773400,6974900,7100800
"Population, total",SP.POP.TOTL,Lao PDR,LAO,5519707,5606101,5689065,6416327,6508803,6600742,7425057,7529475,7633779
"Population, total",SP.POP.TOTL,Latvia,LVA,2337170,2310173,2287955,2059709,2034319,2012647,1884490,1879383,1881750
"Population, total",SP.POP.TOTL,Lebanon,LBN,4389200,4446666,4504807,5045056,5178337,5678851,5592631,5489739,5353930
"Population, total",SP.POP.TOTL,Lesotho,LSO,1999473,1997534,1993030,2037677,2054718,2073939,2281454,2305825,2330318
"Population, total",SP.POP.TOTL,Liberia,LBR,2981648,3060599,3085173,4181150,4331740,4427313,5193416,5302681,5418377
"Population, total",SP.POP.TOTL,Libya,LBY,5275916,5405326,5542641,6188132,5869870,5985221,6735277,6812341,6888388
"Population, total",SP.POP.TOTL,Liechtenstein,LIE,33376,33693,34000,36189,36505,36806,39039,39327,39584
"Population, total",SP.POP.TOTL,Lithuania,LTU,3470818,3443067,3415213,3028115,2987773,2957689,2800839,2831639,2871897
"Population, total",SP.POP.TOTL,Luxembourg,LUX,441525,446175,451630,518347,530946,543360,640064,653103,668606
"Population, total",SP.POP.TOTL,"Macao SAR, China",MAC,439122,449665,462533,571003,582766,593374,686607,695168,704149
"Population, total",SP.POP.TOTL,Madagascar,MDG,16709665,17211934,17724310,22348158,22966240,23588073,28915653,29611714,30325732
"Population, total",SP.POP.TOTL,Malawi,MWI,11498818,11784498,12087965,15146094,15581251,16024775,19889742,20405317,20931751
"Population, total",SP.POP.TOTL,Malaysia,MYS,23542517,24142445,24739411,29184133,29660212,30134807,33573874,33938221,34308525
"Population, total",SP.POP.TOTL,Maldives,MDV,287324,292284,297226,374440,387539,400728,521457,523787,521021
"Population, total",SP.POP.TOTL,Mali,MLI,11583824,11952660,12342165,16039734,16514687,17004033,21904983,22593590,23293698
"Population, total",SP.POP.TOTL,Malta,MLT,393028,395969,398582,416268,420028,425967,518536,531113,553214
"Population, total",SP.POP.TOTL,Marshall Islands,MHL,54413,54496,54493,52971,52203,51352,42050,41569,41996
"Population, total",SP.POP.TOTL,Mauritania,MRT,2761823,2821703,2883326,3524249,3636113,3742959,4614974,4736139,4862989
"Population, total",SP.POP.TOTL,Mauritius,MUS,1196287,1204621,1213370,1252404,1255882,1258927,1266334,1262523,1261041
"Population, total",SP.POP.TOTL,Mexico,MEX,99394288,100917081,102429341,114150481,115755909,117290686,126705138,127504125,128455567
"Population, total",SP.POP.TOTL,"Micronesia, Fed. Sts.",FSM,111948,111992,111805,107887,108232,108609,113131,114164,115224
"Population, total",SP.POP.TOTL,Moldova,MDA,2918135,2911385,2903198,2860699,2860324,2859558,2595809,2538894,2486891
"Population, total",SP.POP.TOTL,Monaco,MCO,32444,32386,32316,33945,34700,35425,36686,36469,36297
"Population, total",SP.POP.TOTL,Mongolia,MNG,2472601,2494617,2516454,2743938,2792349,2845153,3347782,3398366,3447157
"Population, total",SP.POP.TOTL,Montenegro,MNE,607389,609828,612267,620079,620601,621207,619211,617213,616177
"Population, total",SP.POP.TOTL,Morocco,MAR,28930097,29301817,29661270,32903699,33352169,33803527,37076584,37457971,37840044
"Population, total",SP.POP.TOTL,Mozambique,MOZ,18220716,18694946,19186754,23760421,24487611,25251731,32077072,32969518,33897354
"Population, total",SP.POP.TOTL,Myanmar,MMR,46014826,46480230,46924293,49794522,50218185,50648334,53798084,54179306,54577997
"Population, total",SP.POP.TOTL,Namibia,NAM,1856402,1888525,1915425,2132340,2167470,2204510,2530151,2567012,2604172
"Population, total",SP.POP.TOTL,Nauru,NRU,10363,10351,10344,10283,10444,10694,12511,12668,12780
"Population, total",SP.POP.TOTL,Nepal,NPL,24956071,25332178,25682908,27266399,27330694,27381555,30034989,30547580,30896590
"Population, total",SP.POP.TOTL,Netherlands,NLD,16046180,16148929,16225302,16693074,16754962,16804432,17533044,17700982,17879488
"Population, total",SP.POP.TOTL,New Caledonia,NCL,217324,221490,225296,254350,259000,263650,270390,269215,267940
"Population, total",SP.POP.TOTL,New Zealand,NZL,3880500,3948500,4027200,4384000,4408100,4442100,5111300,5117200,5223100
"Population, total",SP.POP.TOTL,Nicaragua,NIC,5192764,5259006,5323062,5942553,6030607,6119379,6850540,6948392,7046310
"Population, total",SP.POP.TOTL,Niger,NER,12031430,12456517,12900790,17283112,17954407,18653199,25252722,26207977,27202843
"Population, total",SP.POP.TOTL,Nigeria,NGA,126152678,129583026,133119801,165463745,170075932,174726123,213401323,218541212,223804632
"Population, total",SP.POP.TOTL,North Macedonia,MKD,2034882,2020157,2022725,1937398,1929821,1922716,1837114,1831712,1811980
"Population, total",SP.POP.TOTL,Northern Mariana Islands,MNP,79479,77162,74623,52520,52359,52141,49481,49551,49796
"Population, total",SP.POP.TOTL,Norway,NOR,4513751,4538159,4564855,4953088,5018573,5079623,5408320,5457127,5519594
"Population, total",SP.POP.TOTL,Oman,OMN,2374653,2403659,2431600,3206870,3535579,3816680,4520471,4576298,4644384
"Population, total",SP.POP.TOTL,Pakistan,PAK,159217727,163262807,166876680,198602738,202205861,205337562,231402117,235824862,240485658
"Population, total",SP.POP.TOTL,Palau,PLW,19828,19851,19880,18240,17946,17805,18024,18055,18058
"Population, total",SP.POP.TOTL,Panama,PAN,3061024,3120990,3181608,3688674,3754862,3821556,4351267,4408581,4468087
"Population, total",SP.POP.TOTL,Papua New Guinea,PNG,5698489,5892596,6090980,7806637,8026545,8245627,9949437,10142619,10329931
"Population, total",SP.POP.TOTL,Paraguay,PRY,5211541,5286512,5353254,5843939,5923322,6005652,6703799,6780744,6861524
"Population, total",SP.POP.TOTL,Peru,PER,27014909,27334503,27623341,29477721,29749589,30038809,33715471,34049588,34352719
"Population, total",SP.POP.TOTL,Philippines,PHL,79626086,81285572,82942837,96337913,98032317,99700107,113880328,115559009,117337368
"Population, total",SP.POP.TOTL,Poland,POL,38248076,38230364,38204570,38063255,38063164,38040196,37747124,36821749,36685849
"Population, total",SP.POP.TOTL,Portugal,PRT,10362722,10419631,10458821,10557560,10514844,10457295,10361831,10409704,10525347
"Population, total",SP.POP.TOTL,Puerto Rico,PRI,3818774,3823701,3826095,3678732,3634488,3593077,3262693,3220113,3205691
"Population, total",SP.POP.TOTL,Qatar,QAT,678831,713186,748525,1804171,1905660,2035501,2688235,2695122,2716391
"Population, total",SP.POP.TOTL,Romania,ROU,22131970,21730496,21574326,20147528,20058035,19983693,19122059,19047009,19056116
"Population, total",SP.POP.TOTL,Russian Federation,RUS,145976482,145306497,144648618,143018195,143378447,143805638,144746762,144236933,143826130
"Population, total",SP.POP.TOTL,Rwanda,RWA,8223941,8372306,8567992,10576932,10840334,11101350,13461888,13776698,14094683
"Population, total",SP.POP.TOTL,Samoa,WSM,185530,186630,187440,196351,198124,199939,218764,222382,225681
"Population, total",SP.POP.TOTL,San Marino,SMR,27335,27969,28601,32495,33132,33285,33745,33660,33642
"Population, total",SP.POP.TOTL,Sao Tome and Principe,STP,146258,149841,153762,186044,189924,193757,223107,227380,231856
"Population, total",SP.POP.TOTL,Saudi Arabia,SAU,22085929,22623415,23150847,30150945,30821543,31482498,35950396,36408820,36947025
"Population, total",SP.POP.TOTL,Senegal,SEN,9938027,10180950,10434504,12875880,13231833,13595566,16876720,17316449,17763163
"Population, total",SP.POP.TOTL,Serbia,SRB,7503433,7496522,7480591,7234099,7199077,7164132,6834326,6664449,6618026
"Population, total",SP.POP.TOTL,Seychelles,SYC,81202,83723,82781,87441,88303,89949,99258,119878,119773
"Population, total",SP.POP.TOTL,Sierra Leone,SLE,4857096,5140113,5350907,6612385,6788587,6964859,8420641,8605718,8791092
"Population, total",SP.POP.TOTL,Singapore,SGP,4138012,4175950,4114826,5183688,5312437,5399162,5453566,5637022,5917648
"Population, total",SP.POP.TOTL,Sint Maarten (Dutch part),SXM,30600,30777,31472,33435,34640,36607,40708,40888,41163
"Population, total",SP.POP.TOTL,Slovak Republic,SVK,5378867,5376912,5373374,5398384,5407579,5413393,5447247,5431752,5426740
"Population, total",SP.POP.TOTL,Slovenia,SVN,1992060,1994530,1995733,2052843,2057159,2059953,2108079,2111986,2120937
"Population, total",SP.POP.TOTL,Solomon Islands,SLB,440395,450760,461216,553721,567763,582365,707851,724273,740424
"Population, total",SP.POP.TOTL,Somalia,SOM,9070747,9411103,9758281,12216837,12440326,12852485,17065581,17597511,18143378
"Population, total",SP.POP.TOTL,South Africa,ZAF,47229714,47661514,48104048,52443325,53145033,53873616,59392255,59893885,60414495
"Population, total",SP.POP.TOTL,South Sudan,SSD,6394431,6686100,6992367,10243050,10701604,11106031,10748272,10913164,11088796
"Population, total",SP.POP.TOTL,Spain,ESP,40850412,41431558,42187645,46742697,46773055,46620045,47415794,47778340,48373336
"Population, total",SP.POP.TOTL,Sri Lanka,LKA,18920275,19110707,19303180,20859743,21017147,21131756,22156000,22181000,22037000
"Population, total",SP.POP.TOTL,St. Kitts and Nevis,KNA,45986,46264,46431,47581,47727,47767,47606,47657,47755
"Population, total",SP.POP.TOTL,St. Lucia,LCA,160594,161799,163047,172145,173124,173978,179651,179857,180251
"Population, total",SP.POP.TOTL,St. Martin (French part),MAF,30387,31160,31929,36350,36026,35639,31948,31791,32077
"Population, total",SP.POP.TOTL,St. Vincent and the Grenadines,VCT,113641,113450,113108,108703,108083,107450,104332,103948,103698
"Population, total",SP.POP.TOTL,Sudan,SDN,26947253,27570318,28188977,34419624,35159792,35990704,45657202,46874204,48109006
"Population, total",SP.POP.TOTL,Suriname,SUR,487394,495666,503780,552146,558111,563947,612985,618040,623236
"Population, total",SP.POP.TOTL,Sweden,SWE,8895960,8924958,8958229,9449213,9519374,9600379,10415811,10486941,10536632
"Population, total",SP.POP.TOTL,Switzerland,CHE,7229854,7284753,7339001,7912398,7996861,8089346,8704546,8775760,8849852
"Population, total",SP.POP.TOTL,Syrian Arab Republic,SYR,16727948,17164021,17611356,22730733,22605577,21495821,21324367,22125249,23227014
"Population, total",SP.POP.TOTL,Tajikistan,TJK,6408810,6541755,6672492,7784819,7956382,8136610,9750064,9952787,10143543
"Population, total",SP.POP.TOTL,Tanzania,TZA,35414469,36353531,37333918,46416031,47786137,49253643,63588334,65497748,67438106
"Population, total",SP.POP.TOTL,Thailand,THA,63649892,64222580,64776956,68712846,69157023,69578602,71601103,71697030,71801279
"Population, total",SP.POP.TOTL,Timor-Leste,TLS,893001,909639,926721,1112976,1137676,1161555,1320942,1341296,1360596
"Population, total",SP.POP.TOTL,Togo,TGO,5145426,5281538,5421001,6748672,6926635,7106229,8644829,8848699,9053799
"Population, total",SP.POP.TOTL,Tonga,TON,103210,103804,104410,107611,107502,107089,106017,106858,107773
"Population, total",SP.POP.TOTL,Trinidad and Tobago,TTO,1338567,1345964,1353548,1420020,1430377,1440729,1525663,1531044,1534937
"Population, total",SP.POP.TOTL,Tunisia,TUN,9995123,10094561,10193798,11032528,11174383,11300284,12262946,12356117,12458223
"Population, total",SP.POP.TOTL,Turkiye,TUR,65072018,65988663,66867327,74223629,75175827,76147624,84147318,84979913,85326000
"Population, total",SP.POP.TOTL,Turkmenistan,TKM,4635094,4698968,4758988,5360811,5458682,5560095,6341855,6430770,6516100
"Population, total",SP.POP.TOTL,Turks and Caicos Islands,TCA,19578,20598,21739,30816,32081,33594,45114,45703,46062
"Population, total",SP.POP.TOTL,Tuvalu,TUV,9621,9609,9668,10700,10854,10918,11204,11312,11396
"Population, total",SP.POP.TOTL,Uganda,UGA,24763325,25545090,26354736,33295738,34273295,35273570,45853778,47249585,48582334
"Population, total",SP.POP.TOTL,Ukraine,UKR,48662400,48202470,47812949,45706086,45593342,45489648,43848986,38000000,37000000
"Population, total",SP.POP.TOTL,United Arab Emirates,ARE,3454198,3633655,3813443,8575205,8664969,8751847,9365145,9441129,9516871
"Population, total",SP.POP.TOTL,United Kingdom,GBR,59119673,59370479,59647577,63258810,63700215,64128273,67026292,67791000,68350000
"Population, total",SP.POP.TOTL,United States,USA,284968955,287625193,290107933,311583481,313877662,316059947,332048977,333271411,334914895
"Population, total",SP.POP.TOTL,Uruguay,URY,3300939,3306441,3310202,3361637,3371133,3381180,3426260,3422794,3423108
"Population, total",SP.POP.TOTL,Uzbekistan,UZB,24964450,25271850,25567650,29339400,29774500,30243200,34915100,35648100,36412350
"Population, total",SP.POP.TOTL,Vanuatu,VUT,197034,202125,207258,251294,257313,263534,319137,326740,334506
"Population, total",SP.POP.TOTL,"Venezuela, RB",VEN,24880203,25330929,25782029,29096159,29470426,29838021,28199867,28301696,28838499
"Population, total",SP.POP.TOTL,Viet Nam,VNM,79817777,80642308,81475825,88349117,89301326,90267739,97468029,98186856,98858950
"Population, total",SP.POP.TOTL,Virgin Islands (U.S.),VIR,108549,108509,108505,108290,108188,108041,105870,105413,104917
"Population, total",SP.POP.TOTL,West Bank and Gaza,PSE,2997784,3075373,3154969,3882986,3979998,4076708,4922749,5043612,5165775
"Population, total",SP.POP.TOTL,"Yemen, Rep.",YEM,19143457,19660653,20188799,25475610,26223391,26984002,32981641,33696614,34449825
"Population, total",SP.POP.TOTL,Zambia,ZMB,10191964,10508294,10837973,14265814,14744658,15234976,19473125,20017675,20569737
"Population, total",SP.POP.TOTL,Zimbabwe,ZWE,11910978,11984644,12075828,13025785,13265331,13555422,15993524,16320537,16665409
"Population, total",SP.POP.TOTL,Africa Eastern and Southern,AFE,412001885,422741118,433807484,537792950,552530654,567892149,702977106,720859132,739108306
"Population, total",SP.POP.TOTL,Africa Western and Central,AFW,277160097,284952322,292977949,366489204,376797999,387204553,478185907,490330870,502789511
"Population, total",SP.POP.TOTL,Arab World,ARB,293512340,300018650,306573087,372351065,380383408,389131555,456520777,464684914,473272080
"Population, total",SP.POP.TOTL,Caribbean small states,CSS,2662831,2687634,2712172,2878168,2898802,2922026,3128519,3147057,3167738
"Population, total",SP.POP.TOTL,Central Europe and the Baltics,CEB,107660041,106959751,106624167,104174038,103935318,103713726,101413157,100108262,100156608
"Population, total",SP.POP.TOTL,Early-demographic dividend,EAR,2545843129,2591204247,2635731526,2991403487,3035159632,3078407213,3411268373,3447398652,3486290439
"Population, total",SP.POP.TOTL,East Asia & Pacific,EAS,2066530023,2083969920,2100610344,2225992094,2243776727,2261274500,2370214403,2375208613,2380601170
